=== 60갑자 일주별 성격/직업/관계/건강 패턴 ===
출처: 한국 명리학 커뮤니티 데이터 종합

형식: 일주 | 성격 | 직업 | 관계 | 건강취약

갑자 | 내면욕망강·기회포착빠름 | 기획/투자·자수성가 | 초반적극·후반거리 | 신장·두통
을축 | 끈기강·현실적 | 금융/행정·안정형 | 장기연애·표현부족 | 소화·비만
병인 | 리더형·즉흥 | 사업/연예·스타성 | 빠른연애·기복 | 심장·혈압
정묘 | 감성·섬세 | 디자인·프리랜서 | 의존성·상처민감 | 간·눈
무진 | 책임감·현실 | 관리자·공무 | 가정중심·결혼지향 | 위·체중
기사 | 배려형·내면압박 | 교육·상담 | 헌신·희생 | 소화·우울
경오 | 직설·강단 | 영업·리더 | 갈등잦음·솔직 | 심혈·열
신미 | 깔끔·분석 | 기술·전문직 | 거리감·선긋기 | 폐·피부
임신 | 유연·지능 | 유통·전략 | 자유추구·변동 | 신장·피로
계유 | 섬세·예민 | 예술·분석 | 까다로움·냉정 | 호흡·피부
갑술 | 고집·신념 | 자영업·관리 | 충돌·의리 | 위·관절
을해 | 유연·감성 | 콘텐츠·기획 | 감정형·상처 | 신장·수면
병자 | 활발·직관 | 영업·마케팅 | 열정·변덕 | 심장·스트레스
정축 | 차분·끈기 | 행정·회계 | 안정형·느림 | 소화·비만
무인 | 추진력·책임 | 사업·리더 | 주도형·강함 | 간·혈압
기묘 | 부드러움·배려 | 교육·상담 | 헌신·감정 | 간·피로
경진 | 강단·현실 | 건설·관리 | 직설·충돌 | 위·근골
신사 | 치밀·계산 | 금융·전략 | 냉정·거리 | 호흡·피부
임오 | 활동성·확장 | 사업·영업 | 자유·변화 | 심혈·피로
계미 | 내면형·감성 | 예술·상담 | 의존·희생 | 소화·우울
갑신 | 지능·전략 | 기획·투자 | 이성적·거리 | 폐·신경
을유 | 섬세·깔끔 | 디자인·분석 | 예민·비판 | 피부·호흡
병술 | 리더·열정 | 사업·조직 | 주도·충돌 | 심장·혈압
정해 | 감성·직관 | 예술·콘텐츠 | 감정·헌신 | 신장·수면
무자 | 현실·계획 | 관리·공무 | 안정·보수 | 신장·소화
기축 | 끈기·보수 | 부동산·행정 | 느림·지속 | 위·비만
경인 | 강단·추진 | 사업·리더 | 직설·갈등 | 간·근육
신묘 | 섬세·분석 | 기술·디자인 | 예민·거리 | 간·눈
임진 | 확장·전략 | 투자·유통 | 자유·변화 | 위·피로
계사 | 지능·직관 | 기획·연구 | 냉정·거리 | 신경·피부
갑오 | 열정·리더 | 사업·영업 | 직진·충돌 | 심장·열
을미 | 배려·감성 | 상담·교육 | 헌신·의존 | 소화·우울
병신 | 활동·지능 | 마케팅·사업 | 변동·자유 | 심혈·피로
정유 | 섬세·깔끔 | 디자인·예술 | 예민·비판 | 폐·피부
무술 | 현실·책임 | 관리·공무 | 보수·안정 | 위·관절
기해 | 감성·유연 | 콘텐츠·상담 | 감정·희생 | 신장·수면
경자 | 강단·이성 | 금융·전략 | 냉정·거리 | 신장·스트레스
신축 | 끈기·분석 | 기술·행정 | 느림·지속 | 위·비만
임인 | 확장·활동 | 사업·유통 | 자유·변화 | 간·피로
계묘 | 감성·섬세 | 예술·교육 | 의존·상처 | 간·눈
갑진 | 신념·현실 | 관리·사업 | 충돌·고집 | 위·근골
을사 | 유연·지능 | 기획·마케팅 | 감정·변동 | 신경·피로
병오 | 열정·리더 | 사업·연예 | 직진·강함 | 심장·혈압
정미 | 감성·배려 | 상담·예술 | 헌신·희생 | 소화·우울
무신 | 현실·전략 | 투자·관리 | 이성·거리 | 폐·근육
기유 | 섬세·정리 | 디자인·분석 | 예민·비판 | 피부·호흡
경술 | 강단·책임 | 관리·조직 | 직설·충돌 | 위·관절
신해 | 지능·감성 | 연구·콘텐츠 | 거리·내면 | 신장·수면
임자 | 유연·확장 | 유통·사업 | 자유·변화 | 신장·피로
계축 | 끈기·현실 | 부동산·행정 | 느림·안정 | 위·비만
