=== 월지별 조후 용신 취용법 ===
출처: 궁통보감(窮通寶鑑), 박청화 명리학 관점 기반
원칙: 월지는 계절 환경. 일간이 그 환경에서 생존하기 위해 필요한 것이 조후 용신.

형식: 월지 | 일간 | 계절환경 | 용신 | 희신 | 기신 | 이유 | 현대해석

=== 子月 (동짓달, 11월, 한겨울) ===
子월 | 甲 | 극한 냉기, 목이 얼어붙음 | 丙(조후) | 庚 壬 | 壬(과다시) | 갑목이 자월 한겨울에 얼어있으므로 병화로 따뜻하게 해야 뿌리내림 | 따뜻한 환경/인간관계에서 능력 발휘, 냉혹한 환경에서 위축
子월 | 乙 | 극한 냉기, 화초가 고사 위기 | 丙(조후) | 庚 | 壬 癸 | 을목 화초가 얼어죽지 않으려면 병화 햇살 필수 | 온기 있는 환경에서 재능 개화, 경쟁/비판 환경에서 소극화
子월 | 丙 | 자수가 병화를 극함, 빛이 약해짐 | 壬(조후) | 甲 戊 | 癸(병화 극) | 병화가 자월 수기에 약해지므로 임수로 설기하고 갑목으로 생조 | 수분 공급과 체계적 지원이 있을 때 빛을 발함
子월 | 丁 | 정화 촛불이 겨울 한기에 꺼질 위기 | 甲(조후, 생화) | 庚 | 壬 癸 | 정화는 갑목이 없으면 꺼짐, 자월에는 특히 목 생화가 필수 | 지지해주는 든든한 환경/멘토가 있어야 능력 발휘
子월 | 戊 | 토가 한기에 얼어 작물 못 키움 | 丙(조후) | 甲 | 壬(과다) | 무토가 자월 냉기에 굳어있으므로 병화로 해동, 갑목으로 소토 | 활성화되는 환경에서 책임감 발휘, 방치되면 정체
子월 | 己 | 음토가 자수에 젖어 흐물거림 | 丙(조후) | 丁 甲 | 壬 癸 | 기토가 자월에 너무 습하므로 병화로 건조하게 | 안정된 환경에서 배려 능력 발휘, 불안정하면 우유부단
子월 | 庚 | 금이 자월 냉기에 너무 차가움 | 丁(조후, 단련) | 甲 丙 | 壬(과다) | 경금은 정화의 단련이 필요, 자월엔 특히 화기 필수 | 도전적 환경에서 실력 연마, 안이한 환경에서 무뎌짐
子월 | 辛 | 신금 보석이 자월 물속에 잠김 | 壬(조후, 세척) | 甲 | 戊(매금) | 신금은 임수로 씻어야 빛남, 자월은 임수 왕지라 좋음 | 지적 환경에서 섬세함 빛남, 흙탕물 같은 환경에서 묻힘
子월 | 壬 | 임수 왕지, 세력 과다할 수 있음 | 戊(조후, 제방) | 丙 甲 | 壬 癸(과다) | 임수 자월 왕지라 무토 제방 필요, 병화로 따뜻하게 | 구조와 방향이 있을 때 능력 발휘, 방임하면 산만
子월 | 癸 | 계수 자월 왕지, 냉기 극심 | 丙(조후) | 辛 庚 | 甲(설기과다) | 계수 자월 왕지라 병화 조후 필수, 신금으로 생조 | 따뜻하고 밝은 환경에서 감성 빛남

=== 丑月 (소한대한, 12월, 엄동설한) ===
丑월 | 甲 | 최극한, 갑목 완전 동사 위기 | 丙(조후, 최우선) | 庚 壬 | 없음 | 축월은 자월보다 더 춥고 토가 얼어있어 병화 절대적 | 극도로 따뜻한 지지 환경 없이는 능력 발휘 어려움
丑월 | 乙 | 화초 동사 위기 | 丙(조후) | 庚 | 壬 癸 | 을목은 축월 한기에 더욱 취약 | 온기 있는 환경, 경쟁보단 협력 환경에서 성장
丑월 | 丙 | 병화 축월 최약, 빛이 거의 없음 | 壬(조후) | 甲 | 癸 | 병화가 축월에 극약하므로 임수 세척 + 갑목 생조 필수 | 지원 체계와 성장 환경이 갖춰져야 빛남
丑월 | 丁 | 정화 촛불 극한 환경 | 甲(생화) | 庚 | 壬 癸 | 정화 축월에 갑목 생조 절대 필요 | 멘토/지지자가 있어야 재능 발현
丑월 | 戊 | 무토 축월 동결 | 丙(조후) | 甲 | 壬 | 무토 축월에 병화 해동 우선 | 활성화 환경에서 책임감 발동
丑월 | 己 | 기토 습냉 | 丙(조후) | 丙 丁 | 壬 癸 | 기토 축월에 병화 건조 필수 | 따뜻하고 안정된 환경에서 배려심 발휘
丑월 | 庚 | 경금 극한에 더욱 예리해짐 | 丁(단련) | 丙 甲 | 壬 癸 | 경금 축월에 정화 단련 | 강도 높은 단련 환경에서 성장
丑월 | 辛 | 신금 축월 매금 위기 | 壬(세척) | 丙 | 戊(매금) | 신금이 축토에 묻힐 수 있어 임수 세척 필요 | 세련된 환경에서 섬세함 발현
丑월 | 壬 | 임수 축월 | 戊(제방) | 丙 甲 | 壬 癸 | 임수 축월 왕기, 무토 제방 + 병화 조후 | 방향과 구조 있을 때 역량 발휘
丑월 | 癸 | 계수 축월, 한기 극심 | 丙(조후) | 辛 | 甲(설기) | 계수 병화 조후 우선 | 밝고 따뜻한 환경에서 감성/직관 발휘

=== 寅月 (입춘, 1월, 초봄) ===
寅월 | 甲 | 봄 시작, 갑목 건록지 | 丙(조후) | 庚 壬 | 戊(과다) | 갑목 인월 건록, 병화로 따뜻하게 하고 경금으로 다듬어야 | 자기 분야에서 개척하고 앞서나가는 기질 발현
寅월 | 乙 | 초봄, 을목 생기 | 丙(조후) | 癸 | 壬(과다) | 을목 인월에 병화 햇살, 계수로 촉촉하게 | 봄기운처럼 유연하게 성장, 협력 환경에서 강점
寅월 | 丙 | 인월 병화, 아직 빛이 약함 | 壬(조후) | 庚 甲 | 壬 癸(과다) | 병화 인월에 임수로 조절, 갑목 생조 | 균형잡힌 환경에서 빛 발함
寅월 | 丁 | 인월 정화, 목이 많아 화가 매일 수 있음 | 甲(적당히) | 庚 | 壬 癸 | 인목이 인월에 많으면 정화가 약해질 수 있어 균형 필요 | 지나친 지원이 오히려 해가 될 수 있음
寅월 | 戊 | 인월 무토, 목의 극을 받음 | 丙(조후) | 甲 | 壬(과다) | 무토 인월에 목의 소토가 있어 병화로 생조 | 도전적 환경에서 책임감 강화
寅월 | 己 | 인월 기토, 목의 극 | 丙(조후) | 甲 少 | 壬 甲(과다) | 기토 인월에 갑목 극이 심하면 병화 보조 | 안정된 기반 있을 때 배려심 강점
寅월 | 庚 | 인월 경금, 목의 기운에 금이 상함 | 丁(조후, 단련) | 甲 | 壬(과다) | 경금 인월에 목이 많아 금이 약해지므로 정화 단련 | 강한 단련 과정을 통해 성장
寅월 | 辛 | 인월 신금, 봄 목기에 약해짐 | 壬(조후) | 甲 丙 | 戊(매금) | 신금 인월에 목기 왕, 임수로 세척 후 활용 | 창의적 환경에서 섬세함 발현
寅월 | 壬 | 인월 임수, 목이 설기 | 戊(제방) | 丙 庚 | 甲(설기과다) | 임수 인월에 목으로 설기되므로 무토 제방 | 체계 있는 환경에서 전략 실행
寅월 | 癸 | 인월 계수, 목으로 설기 | 丙(조후) | 庚 辛 | 甲(설기) | 계수 인월에 목 설기, 병화 조후 | 따뜻한 관계 속에서 감성/직관 활성화

=== 卯月 (춘분, 2월, 봄기운 왕성) ===
卯월 | 甲 | 갑목 왕지, 목기 과다 위험 | 庚(극목, 소목) | 丙 壬 | 甲 乙(과다) | 갑목 묘월 왕지, 경금으로 다듬어야 쓸모 있음 | 강한 경쟁과 단련 속에서 진가 발휘
卯월 | 乙 | 을목 왕지, 화초 만개 | 丙(조후) | 癸 庚 | 甲(많으면) | 을목 묘월 왕지, 병화 햇살과 계수 비가 필요 | 적절한 지원과 경쟁 균형에서 재능 개화
卯월 | 丙 | 묘월 병화, 목생화로 왕성 | 壬(조후) | 庚 | 甲 乙(과다) | 병화 묘월에 목이 많으면 화세 강, 임수로 조절 | 넘치는 에너지를 방향 잡아줄 환경 필요
卯월 | 丁 | 묘월 정화, 목생화로 강함 | 庚(재성 개발) | 壬 甲 | 壬 癸(과다) | 정화 묘월에 강한 목생화, 경금 재성으로 성과 창출 | 재능을 실질 성과로 연결하는 구조 필요
卯월 | 戊 | 묘월 무토, 목의 극 심함 | 丙(생토) | 庚 少 | 甲 乙(과다) | 무토 묘월에 목극토 심하므로 병화로 화생토 보강 | 역경 속에서 강해지는 책임감 유형
卯월 | 己 | 묘월 기토, 목의 극 | 丙(생토) | 甲 少 | 壬(과다) | 기토 묘월에 병화 보조, 갑목 소량 | 도전 속에서 배려와 인내 강화
